,guess
0,3
1,3
2,3
3,3
4,3
5,4
6,3
7,3
8,4
9,3
10,4
11,4
12,3
13,3
14,2
15,3
16,3
17,2
18,3
19,3
20,3
21,3
22,4
23,4
24,4
25,3
26,3
27,4
28,4
29,4
30,4
31,3
32,3
33,3
34,4
35,4
36,2
37,4
38,3
39,3
40,4
41,4
42,3
43,3
44,3
45,3
46,4
47,4
48,3
49,4
50,4
51,3
52,3
53,3
54,4
55,3
56,4
57,3
58,4
59,4
60,4
61,2
62,3
63,4
64,4
65,5
66,4
67,3
68,3
69,4
70,4
71,4
72,3
73,3
74,3
75,4
76,3
77,3
78,4
79,3
80,3
81,2
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,4
90,3
91,4
92,3
93,3
94,4
95,4
96,4
97,4
98,4
99,3
100,3
101,2
102,3
103,2
104,3
105,2
106,4
107,3
108,3
109,3
110,3
111,3
112,4
113,3
114,3
115,3
116,4
117,3
118,3
119,4
120,3
121,3
122,3
123,5
124,4
125,4
126,4
127,3
128,4
129,4
130,4
131,5
132,3
133,4
134,3
135,4
136,4
137,4
138,4
139,3
140,5
141,3
142,4
143,3
144,3
145,4
146,5
147,3
148,3
149,4
150,3
151,2
152,3
153,3
154,3
155,4
156,3
157,3
158,3
159,3
160,4
161,3
162,3
163,3
164,3
165,2
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,4
175,3
176,4
177,3
178,2
179,4
180,4
181,3
182,4
183,2
184,3
185,4
186,3
187,3
188,4
189,3
190,4
191,4
192,3
193,3
194,4
195,4
196,3
197,3
198,3
199,3
200,3
201,3
202,4
203,4
204,3
205,3
206,4
207,3
208,3
209,2
210,3
211,5
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,4
221,3
222,3
223,3
224,3
225,4
226,4
227,3
228,4
229,3
230,5
231,4
232,3
233,3
234,3
235,4
236,4
237,3
238,4
239,3
240,4
241,3
242,5
243,3
244,4
245,4
246,4
247,5
248,4
249,2
250,4
251,4
252,3
253,4
254,3
255,4
256,4
257,5
258,2
259,3
260,3
261,3
262,3
263,3
264,4
265,4
266,4
267,3
268,2
269,3
270,3
271,3
272,3
273,4
274,3
275,3
276,3
277,3
278,3
279,3
280,4
281,4
282,3
283,3
284,4
285,3
286,4
287,4
288,3
289,2
290,3
291,3
292,3
293,4
294,4
295,4
296,4
297,3
298,3
299,4
300,4
301,4
302,3
303,3
304,4
305,2
306,3
307,3
308,4
309,3
310,4
311,4
312,4
313,3
314,3
315,4
316,2
317,3
318,3
319,4
320,2
321,4
322,3
323,3
324,2
325,3
326,4
327,3
328,4
329,2
330,2
331,3
332,2
333,3
334,3
335,2
336,3
337,4
338,2
339,2
340,4
341,3
342,3
343,4
344,3
345,3
346,2
347,3
348,3
349,3
350,3
351,2
352,3
353,4
354,3
355,3
356,3
357,2
358,3
359,4
360,3
361,2
362,3
363,3
364,3
365,4
366,3
367,4
368,3
369,3
370,3
371,3
372,3
373,4
374,5
375,4
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,2
384,3
385,3
386,3
387,2
388,4
389,4
390,3
391,3
392,3
393,4
394,4
395,3
396,3
397,3
398,2
399,3
400,3
401,3
402,4
403,2
404,4
405,2
406,2
407,3
408,3
409,3
410,4
411,3
412,2
413,3
414,3
415,2
416,3
417,3
418,3
419,4
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,4
428,3
429,3
430,3
431,3
432,3
433,3
434,4
435,4
436,2
437,3
438,4
439,3
440,3
441,2
442,2
443,2
444,3
445,3
446,3
447,3
448,2
449,2
450,3
451,4
452,3
453,4
454,4
455,3
456,4
457,5
458,1
459,2
460,2
461,3
462,2
463,3
464,6
465,4
466,7
467,2
468,3
469,3
470,2
471,3
472,4
473,2
474,3
475,3
476,4
477,4
478,3
479,3
480,3
481,3
482,3
483,3
484,2
485,4
486,2
487,2
488,4
489,4
490,3
491,5
492,2
493,3
494,4
495,3
496,2
497,3
498,4
499,3
500,3
501,3
502,3
503,3
504,3
505,2
506,3
507,4
508,3
509,5
510,4
511,3
512,4
513,4
514,3
515,3
516,4
517,2
518,4
519,4
520,3
521,2
522,3
523,4
524,4
525,4
526,4
527,2
528,3
529,3
530,3
531,3
532,5
533,3
534,4
535,3
536,3
537,4
538,3
539,4
540,3
541,3
542,3
543,3
544,5
545,4
546,3
547,3
548,4
549,3
550,3
551,4
552,4
553,4
554,3
555,4
556,3
557,4
558,4
559,4
560,4
561,3
562,4
563,5
564,3
565,4
566,3
567,4
568,4
569,3
570,4
571,3
572,3
573,3
574,3
575,3
576,4
577,4
578,4
579,3
580,3
581,3
582,3
583,3
584,4
585,3
586,4
587,4
588,3
589,4
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,4
598,2
599,4
600,3
601,3
602,4
603,4
604,3
605,3
606,3
607,3
608,4
609,3
610,3
611,4
612,4
613,3
614,3
615,4
616,3
617,4
618,4
619,4
620,3
621,3
622,4
623,4
624,4
625,3
626,3
627,4
628,4
629,3
630,3
631,3
632,3
633,4
634,4
635,4
636,4
637,4
638,3
639,3
640,4
641,6
642,3
643,4
644,3
645,4
646,4
647,4
648,4
649,3
650,3
651,5
652,3
653,4
654,2
655,3
656,3
657,4
658,3
659,3
660,3
661,3
662,3
663,4
664,3
665,3
666,3
667,4
668,4
669,2
670,4
671,3
672,4
673,4
674,5
675,4
676,3
677,4
678,3
679,4
680,3
681,3
682,4
683,4
684,3
685,3
686,3
687,3
688,4
689,4
690,3
691,4
692,3
693,3
694,2
695,3
696,3
697,2
698,4
699,3
700,3
701,3
702,3
703,2
704,3
705,4
706,4
707,4
708,4
709,4
710,3
711,4
712,3
713,3
714,4
715,4
716,4
717,4
718,3
719,3
720,3
721,4
722,4
723,4
724,6
725,4
726,3
727,4
728,4
729,3
730,3
731,4
732,4
733,4
734,5
735,3
736,5
737,3
738,3
739,4
740,3
741,4
742,3
743,3
744,6
745,4
746,4
747,4
748,3
749,3
750,4
751,4
752,5
753,4
754,3
755,3
756,3
757,4
758,3
759,4
760,3
761,3
762,4
763,4
764,3
765,4
766,4
767,4
768,4
769,4
770,3
771,3
772,3
773,4
774,4
775,4
776,4
777,5
778,3
779,3
780,4
781,4
782,5
783,3
784,3
785,3
786,4
787,3
788,4
789,4
790,3
791,2
792,3
793,4
794,4
795,3
796,4
797,3
798,4
799,6
800,3
801,5
802,3
803,5
804,4
805,2
806,3
807,3
808,3
809,3
810,4
811,3
812,3
813,3
814,3
815,4
816,4
817,4
818,4
819,5
820,3
821,4
822,4
823,5
824,3
825,3
826,4
827,3
828,3
829,5
830,4
831,4
832,4
833,4
834,3
835,4
836,4
837,5
838,4
839,4
840,3
841,4
842,4
843,5
844,5
845,6
846,4
847,4
848,3
849,4
850,2
851,4
852,4
853,3
854,4
855,3
856,3
857,4
858,4
859,4
860,4
861,4
862,4
863,4
864,5
865,4
866,3
867,3
868,3
869,5
870,3
871,4
872,4
873,4
874,4
875,4
876,3
877,3
878,3
879,4
880,4
881,4
