,word,freq
0,piaba,0.0
1,araba,5.25e-08
2,guaba,0.0
3,dabba,7.76e-08
4,labba,0.0
5,dubba,1.41e-08
6,hubba,1.78e-07
7,kubba,1.12e-08
8,qubba,0.0
9,tubba,0.0
10,gleba,1.82e-08
11,breba,0.0
12,whiba,0.0
13,guiba,0.0
14,gamba,1.91e-07
15,lamba,9.33e-08
16,mamba,4.37e-07
17,samba,1.51e-06
18,domba,0.0
19,dumba,6.76e-08
20,jumba,3.8e-08
21,cymba,0.0
22,caoba,0.0
23,cooba,0.0
24,yerba,2.19e-07
25,girba,0.0
26,shuba,1.02e-08
27,tsuba,3.24e-08
28,abaca,5.89e-08
29,araca,0.0
30,braca,1.86e-08
31,huaca,3.72e-08
32,bacca,1e-07
33,lacca,1.26e-08
34,yacca,0.0
35,licca,0.0
36,sicca,3.63e-08
37,ticca,0.0
38,bocca,6.92e-08
39,bucca,4.57e-08
40,yucca,4.47e-07
41,caeca,2.24e-08
42,theca,2.88e-08
43,cueca,0.0
44,icica,0.0
45,plica,3.09e-08
46,spica,2.09e-07
47,trica,0.0
48,quica,0.0
49,banca,2.04e-07
50,tunca,0.0
51,choca,1.26e-08
52,phoca,2.95e-08
53,troca,1.02e-08
54,circa,3.72e-06
55,firca,0.0
56,furca,1.48e-08
57,posca,2.75e-08
58,eruca,0.0
59,styca,0.0
60,alada,0.0
61,cabda,0.0
62,fodda,0.0
63,zudda,0.0
64,weeda,1.12e-08
65,vifda,0.0
66,cnida,0.0
67,namda,0.0
68,numda,0.0
69,banda,1e-06
70,danda,6.17e-08
71,panda,4.47e-06
72,benda,1.45e-07
73,denda,0.0
74,penda,5.25e-08
75,pinda,2.19e-08
76,honda,8.32e-06
77,nonda,0.0
78,zerda,0.0
79,sorda,0.0
80,cauda,8.51e-08
81,echea,0.0
82,bohea,0.0
83,galea,1.07e-07
84,palea,1.95e-08
85,kolea,0.0
86,solea,2.09e-08
87,sulea,0.0
88,linea,2.34e-07
89,tinea,1.58e-07
90,vinea,0.0
91,apnea,1e-06
92,usnea,1.74e-08
93,kioea,0.0
94,gloea,0.0
95,tarea,1.45e-08
96,ocrea,0.0
97,insea,0.0
98,batea,0.0
99,fovea,1.05e-07
100,caffa,1.17e-08
101,trifa,0.0
102,sulfa,8.51e-08
103,tarfa,0.0
104,chufa,0.0
105,glaga,0.0
106,plaga,2.57e-08
107,amaga,0.0
108,ziega,0.0
109,omega,6.03e-06
110,dagga,4.68e-08
111,gogga,0.0
112,saiga,1.02e-07
113,taiga,4.17e-07
114,belga,1.95e-08
115,wilga,1.02e-08
116,mulga,4.9e-08
117,banga,1.7e-07
118,ganga,7.94e-07
119,kanga,1.45e-07
120,manga,9.33e-06
121,nanga,1.02e-07
122,sanga,1.1e-07
123,tanga,1.86e-07
124,wanga,3.47e-08
125,linga,1.35e-07
126,conga,4.68e-07
127,donga,6.46e-08
128,longa,1.35e-07
129,ponga,4.68e-08
130,tonga,1.26e-06
131,wonga,1.23e-07
132,munga,2.34e-08
133,punga,1.32e-08
134,choga,0.0
135,snoga,0.0
136,stoga,0.0
137,carga,2.19e-08
138,yerga,0.0
139,jirga,1.29e-07
140,virga,3.47e-08
141,morga,1.86e-08
142,murga,2.09e-08
143,purga,1.91e-08
144,ekaha,0.0
145,mocha,9.55e-07
146,nucha,0.0
147,bigha,2.09e-08
148,lekha,2.34e-08
149,milha,0.0
150,tanha,2.29e-08
151,linha,0.0
152,alpha,1.78e-05
153,hypha,1.74e-08
154,casha,0.0
155,masha,5.89e-07
156,pasha,1.38e-06
157,wisha,0.0
158,kusha,2.04e-08
159,musha,5.75e-08
160,jatha,0.0
161,katha,1.66e-07
162,artha,1e-07
163,mowha,0.0
164,staia,0.0
165,jabia,0.0
166,labia,5.01e-07
167,rebia,0.0
168,tibia,7.94e-07
169,cobia,4.37e-08
170,erbia,0.0
171,nubia,2.82e-07
172,facia,5.5e-08
173,oncia,0.0
174,uncia,1.35e-08
175,media,0.0002
176,redia,0.0
177,tafia,0.0
178,hagia,1.45e-07
179,regia,1.95e-07
180,vigia,1.07e-08
181,logia,6.92e-08
182,orgia,0.0
183,vakia,0.0
184,uckia,0.0
185,oukia,0.0
186,cilia,4.47e-07
187,gilia,1.48e-08
188,dolia,0.0
189,folia,7.24e-08
190,holia,0.0
191,dulia,1.1e-08
192,lamia,2.34e-07
193,mania,2.75e-06
194,tania,1e-06
195,xenia,2.95e-07
196,amnia,0.0
197,gonia,0.0
198,tapia,1.86e-07
199,sepia,6.03e-07
200,topia,2.95e-08
201,rupia,0.0
202,baria,4.37e-08
203,maria,2.19e-05
204,ceria,4.9e-08
205,feria,1.58e-07
206,agria,1.38e-08
207,chria,0.0
208,doria,2.29e-07
209,noria,3.63e-08
210,atria,2.4e-07
211,stria,4.37e-08
212,retia,0.0
213,entia,1.12e-08
214,hutia,0.0
215,lauia,0.0
216,aevia,0.0
217,juvia,5.75e-08
218,lexia,2.24e-08
219,loxia,2.24e-08
220,tazia,1.2e-08
221,chaja,0.0
222,khaja,1.29e-08
223,ajaja,0.0
224,inaja,0.0
225,ganja,5.25e-07
226,jinja,1.17e-07
227,linja,0.0
228,ponja,0.0
229,khoja,3.89e-08
230,cooja,0.0
231,dooja,0.0
